X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_A,Coded_Medical_B,weight1,weight2,weight3,tm_start,tm_finish,duration,XSPANISH,XPRIMELAN,XLANG,Order_Q9_Q10_First,Order_Q9_Q10_Second,DOV_Q14_More,DOV_Q14_Fewer,DOV_Q14_About,DOV_Q14_Havent,DOV_Q57a,Order_Q20_Q22_First,Order_Q20_Q22_Second,Order_Q20_Q22_Third,DOV_Q20_E,DOV_Q20_F,Order_Q20_a,Order_Q20_b,Order_Q20_c,Order_Q20_d,Order_Q20_e,Order_Q20_f,DOV_Q21_E,DOV_Q21_F,Order_Q21_a,Order_Q21_b,Order_Q21_c,Order_Q21_d,Order_Q21_e,Order_Q21_f,DOV_Q22_E,DOV_Q22_F,Order_Q22_a,Order_Q22_b,Order_Q22_c,Order_Q22_d,Order_Q22_e,Order_Q22_f,Order_Q29_Q30_First,Order_Q29_Q30_Second,Order_Q36A_Q36B_First,Order_Q36A_Q36B_Second,Order_Q38A_Q38B_First,Order_Q38A_Q38B_Second,Order_Q41A_Q41B_First,Order_Q41A_Q41B_Second,Order_Q49_Q57_A,Order_Q49_Q57_E,Order_Q49_Q57_G,Order_Q49_Q57_H,Order_Q49_Q57_I,Q2,Q4A,Q5,Q9a,Q9b,Q9c,Q9e,Q9f,Q9g,Q9h,Q9i,Q10a,Q10b,Q10c,Q10e,Q10f,Q10g,Q10h,Q10i,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q27,Q29,Q30,Q32B,Q33B,Q34,Q35,Q36A,Q36B,Q37,Q38A,Q38B,Q39,Q41A,Q41B,Q42,Q43,Q44,Q44A,Q44A1,Q45,Q46,Q47,Q48B,Q48b1,Q49_A,Q50_A,Q51_A,Q52_A,Q53_A,Q54_A,Q55_A,Q56_A,Q49_E,Q50_E,Q51_E,Q52_E,Q55_E,Q56_E,Q57a_E,Q57b_E,Q49_G,Q50_G,Q51_G,Q52_G,Q55_G,Q56_G,Q57a_G,Q57b_G,Q49_H,Q50_H,Q51_H,Q52_H,Q55_H,Q56_H,Q57a_H,Q57b_H,Q49_I,Q51_I,Q50_I,Q52_I,Q55_I,Q56_I,Q57a_I,Q57b_I,Q58A,Q58C,Q59A_1,Q59A_2,Q59A_3,Q59A_4,Q59A_5,Q59A_6,Q59A_7,Q59A_8,Q59A_9,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,PPRACEM,pppa0197,pppa0012
1,4,1,Have nothing to hide,trust,1,DNA information is an important tool for us to use from finding cures for diseases to solving crimes,medical cure,NA,1.18,0.46,1.03,3/25/11 23:14,3/25/11 23:33,18,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,5,1,2,3,NA,4,0,1,2,1,5,3,NA,4,1,0,3,1,5,2,4,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,2,2,2,1,1,1,2,2,1,2,3,1,2,1,2,2,2,2,3,2,2,NA,NA,NA,NA,3,4,3,1,4,4,2,2,2,2,2,2,2,1,1,3,1,1,4,1,2,1,DNA information is an important tool for us to use from finding cures for diseases to solving crimes,3,1,2,1,Have nothing to hide,1,1,1,2,2,2,2,3,1,1,1,3,2,3,NA,3,1,1,1,3,2,3,NA,1,1,1,2,2,2,3,NA,1,1,1,NA,1,2,3,NA,1,2,1,0,1,1,1,1,1,1,0,0,57,5,3,10,3,1,1,1,2,1,17,1,1,3,6,1,63,0,0,0,0,2,6,1,1,1,4
2,5,4,Again it could fall into the wrong hands.,mistrust,4,I wouldn't want it to fall into the wrong hands.,mistrust,NA,2.97,1.16,2.58,3/25/11 23:14,3/25/11 23:42,27,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,2,1,5,3,NA,4,1,0,3,1,5,2,4,NA,0,1,2,5,4,1,NA,3,2,1,1,2,1,2,2,1,2,3,4,5,1,4,3,2,1,1,1,3,2,3,2,3,1,1,1,3,3,3,3,3,3,2,NA,NA,NA,NA,1,1,1,3,4,4,2,2,3,3,4,4,4,3,2,3,1,1,4,4,1,4,I wouldn't want it to fall into the wrong hands.,2,3,2,4,Again it could fall into the wrong hands.,2,2,3,4,2,1,2,2,2,3,3,3,2,2,NA,3,3,4,4,4,4,2,NA,3,2,4,4,4,2,2,NA,3,2,4,NA,4,3,2,NA,3,2,2,1,0,0,0,0,0,0,0,0,24,1,1,9,2,1,1,0,3,1,13,5,1,3,5,1,54,0,0,0,0,3,1,1,1,1,4
3,6,1,"If it would help solve the crime, why not lend a hand?",trust,1,"If it will help another human being, sometime, somewhere, why not?",value,trust,1.69,0.66,1.47,3/25/11 23:16,3/27/11 14:04,2327,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,3,1,5,2,4,NA,0,1,2,5,4,1,NA,3,0,1,3,2,4,1,NA,5,1,2,2,1,2,1,1,2,1,2,3,4,5,4,3,2,1,1,1,2,2,1,3,2,1,2,1,2,2,2,3,2,4,2,NA,NA,NA,NA,3,3,2,3,4,1,1,1,2,2,1,1,4,2,2,2,4,4,4,2,2,1,"If it will help another human being, sometime, somewhere, why not?",3,1,1,1,"If it would help solve the crime, why not lend a hand?",2,3,4,3,4,3,2,2,1,2,3,3,2,2,NA,3,1,2,4,3,2,2,NA,3,1,3,4,3,2,2,NA,3,1,2,NA,2,1,1,NA,3,2,1,0,1,1,1,0,0,0,0,0,73,6,4,10,3,1,1,1,2,1,15,1,1,3,5,1,57,0,0,0,0,2,5,1,1,1,5
4,7,2,YES I WOULD BE WILLING TO DO.YES.,indeterminate willing,1,YES I WOULD BE WILLING TO DO.YES.,XX,NA,0.33,0.69,0.28,3/25/11 23:17,3/25/11 23:52,35,1,5,8,1,2,2,1,3,4,0,3,1,2,0,1,2,5,4,1,NA,3,0,1,3,2,4,1,NA,5,1,0,3,1,4,5,2,NA,1,2,2,1,2,1,1,2,5,1,2,3,4,1,1,2,2,2,1,2,1,3,2,3,2,2,1,3,2,3,3,3,1,1,3,2,2,2,3,1,2,1,4,2,2,3,3,3,2,2,2,2,2,3,2,1,1,1,2,1,YES I WOULD BE WILLING TO DO.YES.,1,2,2,2,YES I WOULD BE WILLING TO DO.YES.,1,1,2,3,1,1,2,2,1,2,2,2,2,2,NA,3,1,2,2,3,2,2,NA,3,1,2,2,3,2,2,NA,3,1,3,NA,2,2,2,NA,3,2,1,0,1,1,1,0,0,0,0,0,60,5,4,10,3,2,1,1,3,2,12,4,1,4,9,1,93,0,0,0,1,2,1,1,2,1,4
5,8,2,To help investigators solve a crime.,trust,1,The research could be helpful to me in the future.,interest,NA,3.68,1.43,3.2,3/25/11 23:17,3/25/11 23:57,40,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,3,2,4,1,NA,5,1,0,3,1,4,5,2,NA,0,1,1,5,3,4,NA,2,1,2,2,1,2,1,1,2,5,1,2,3,4,3,3,2,1,1,1,2,1,2,2,3,1,1,1,2,1,2,2,3,2,2,NA,NA,NA,NA,3,4,2,1,1,1,1,3,3,4,3,3,4,3,1,2,1,1,4,2,2,1,The research could be helpful to me in the future.,2,1,1,2,To help investigators solve a crime.,1,1,3,3,1,1,2,2,1,1,2,2,2,2,4,NA,1,1,2,2,2,2,4,NA,1,1,2,2,2,2,4,NA,1,1,NA,2,3,2,4,NA,2,2,0,0,1,1,0,0,0,0,0,54,4,3,12,4,1,1,0,3,1,15,5,1,4,9,1,93,0,0,0,0,3,5,1,1,1,3
6,9,3,NA,"NA",3,NA,"NA",NA,1.36,0.53,1.18,3/25/11 23:17,3/25/11 23:40,23,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,3,1,4,5,2,NA,0,1,1,5,3,4,NA,2,0,1,1,3,2,5,NA,4,2,1,1,2,1,2,2,1,5,1,2,3,4,3,2,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,3,2,2,NA,NA,NA,NA,4,3,2,1,1,1,3,3,3,3,3,3,3,3,2,3,2,4,3,3,3,3,NA,2,2,2,3,NA,3,4,4,4,3,4,3,3,2,4,4,4,3,3,3,NA,2,3,4,4,3,3,3,NA,2,4,4,4,3,3,3,NA,2,3,NA,3,3,3,3,NA,2,2,1,0,0,0,0,0,0,0,0,59,5,3,9,2,1,1,1,2,4,5,6,1,3,5,1,52,0,0,0,0,2,6,1,1,1,4
7,10,3,Convicts have already been found guilty of crimes.,indeterminate unwilling,1,"The more we can learn on the subject, the sooner we'll be able to help people overcome inherited diseases.",medical cure,NA,1.22,0.48,1.06,3/25/11 23:19,3/25/11 23:47,28,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,1,5,3,4,NA,2,0,1,1,3,2,5,NA,4,1,0,4,5,3,2,1,NA,1,2,2,1,2,1,1,2,4,5,1,2,3,4,2,2,1,2,1,2,2,2,2,3,1,2,1,2,3,3,3,3,2,2,NA,NA,NA,NA,3,3,3,1,1,1,1,2,3,3,2,2,3,1,-1,2,1,1,4,2,1,1,"The more we can learn on the subject, the sooner we'll be able to help people overcome inherited diseases.",3,1,1,3,Convicts have already been found guilty of crimes.,2,4,4,4,3,3,2,3,1,2,2,3,3,3,NA,1,1,2,2,2,3,3,NA,1,2,3,2,-1,4,3,NA,1,1,1,NA,1,3,3,NA,1,1,1,0,1,1,0,0,1,0,0,0,51,4,3,10,3,1,2,1,2,1,16,1,1,4,9,1,93,0,0,0,0,2,1,1,1,1,6
8,11,1,prove inicence,exoneration/innocence,2,it may help someone,value,NA,1.47,0.57,1.27,3/25/11 23:19,3/25/11 23:31,12,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,1,3,2,5,NA,4,1,0,4,5,3,2,1,NA,0,1,1,5,4,2,NA,3,2,1,1,2,1,2,2,1,4,5,1,2,3,4,3,2,1,1,1,2,2,1,2,3,1,1,1,2,2,1,2,3,3,2,NA,NA,NA,NA,2,2,2,1,1,1,2,2,2,3,3,3,3,3,2,2,1,1,4,2,2,2,it may help someone,3,1,1,1,prove inicence,3,3,4,3,3,4,2,2,1,2,2,2,3,3,NA,3,1,2,2,2,3,3,NA,4,1,2,2,2,3,3,NA,3,1,2,NA,2,1,1,NA,3,2,1,0,1,0,0,0,0,0,0,0,70,6,4,10,3,1,1,1,3,1,15,1,1,1,2,1,21,0,0,0,0,3,5,1,1,1,6
9,12,3,General privacy concerns.,privacy,2,To aid in research.,scientific knowledge,NA,2.38,0.93,2.07,3/25/11 23:19,3/25/11 23:28,8,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,4,5,3,2,1,NA,0,1,1,5,4,2,NA,3,0,1,1,4,2,3,NA,5,1,2,2,1,2,1,1,2,3,4,5,1,2,4,4,1,1,1,1,2,2,1,2,3,1,2,1,2,3,2,3,3,3,2,NA,NA,NA,NA,3,3,3,1,2,1,1,3,2,3,2,1,4,2,1,2,1,1,2,3,3,2,To aid in research.,3,1,2,3,General privacy concerns.,1,1,3,3,1,4,2,1,2,1,2,3,2,1,NA,1,2,1,2,3,2,1,NA,1,1,2,3,3,2,1,NA,1,1,3,NA,2,1,2,NA,1,1,1,0,1,1,0,1,0,0,0,0,34,2,2,14,4,1,1,1,2,3,16,6,1,4,9,2,93,0,0,0,0,2,1,1,1,1,2
10,13,1,why not,trust,1,it could help people,value,NA,1.15,0.45,1,3/25/11 23:20,3/25/11 23:46,26,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,0,1,1,5,4,2,NA,3,0,1,1,4,2,3,NA,5,1,0,3,4,2,5,1,NA,2,1,1,2,1,2,2,1,2,3,4,5,1,3,2,2,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,3,1,2,NA,NA,NA,NA,3,3,2,1,1,1,1,4,2,4,4,1,4,1,1,2,1,1,2,1,4,1,it could help people,1,1,4,1,why not,1,1,4,3,1,1,2,1,1,1,1,2,2,1,1,NA,1,1,2,2,2,1,1,NA,1,1,2,2,2,2,1,NA,1,2,NA,2,2,1,1,NA,1,1,0,1,1,0,1,0,0,0,0,69,6,4,9,2,1,1,1,1,1,6,5,1,1,2,1,23,0,0,0,0,1,5,1,1,1,2
