X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_AB,Coded_Medical,weight1,weight2,tm_start,tm_finish,duration,XSPANISH,XHISPAN,XGenes,DOV_ACSLANG,Q2,DOV_ORDER_Q9_Q10,DOV_ORDER_Q9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q27,DOV_ORDER_Q29_Q30,Q29,Q30,Q42,Q43,Q44,Q44a,Q44a1,Q45,Q46,Q47,Q48B,Q48b1,DOV_ORDER_Q49,Q49_A,Q49_B,Q49_G,Q49_H,Q49_I,Q50_A,Q50_B,Q50_G,Q50_H,Q51_A,Q51_B,Q51_G,Q51_H,Q51_I,Q52_A,Q52_B,Q52_G,Q52_H,Q52_I,Q53,Q54,DOV_ORDER_Q1_New,Q1_New_1,Q1_New_2,Q1_New_3,Q1_New_4,Q1_New_5,Q1_New_6,Q1_New_7,Q1_New_8,DOV_ORDER_Q2_New,Q2_New_1,Q2_New_2,Q2_New_3,Q2_New_4,Q2_New_5,Q2_New_6,Q3_New,Q3A_New,Q4_New,Q5_New,Q5B_New_1,Q5B_New_2,Q5B_New_3,Q5B_New_Refused,DOV_ORDER_Q6_New,Q6_New_1,Q6_New_2,Q6_New_3,Q6_New_4,Q6_New_5,Q6_New_6,DOV_ORDER_Q7_New,Q7_New_1,Q7_New_2,Q7_New_3,Q7_New_4,Q7_New_5,Q7_New_6,Q8_New,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,partyid7,ppp10012,pph10001,pph1acid,pph1adhd,pph1brea,pph1canc,pph1pain,pph1diab,pph1eyed,pph1gastr,pph1hatk,pph1hepc,pph1hype,pph1chol,pph1aids,pph1kidn,pph1meno,pph1ms,pph1liver,pph1osar,pph1oste,pph1psor,pph1pah,pph1arth,pph1alle,pph1sexd,pph1inso,pph1stro,pph1ufib,pph1none,pppa1690
1,1,4,NA,"NA",4,NA,Coded_Medical_A,"NA",0.2253,0.3854,9/22/17,9/22/17,9,1,1,1,5,5,"Q10,Q9","d,g,a,f,c,h,e,b",1,3,2,1,3,3,1,3,1,2,2,1,3,3,1,3,1,"Q29,Q30",4,4,4,4,4,4,NA,2,2,1,4,NA,NA,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,1,3,4,4,3,4,NA,2,2,2,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,3,4,4,1,2,NA,3,2,2,1,2,2,1,61,5,4,10,3,2,1,1,1,3,4,3,1,2,3,2,31,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,Give a sample,sampling,2,Give a swab.,Coded_Medical_A,sampling,0.7918,0.4863,9/22/17,9/22/17,16,1,1,1,5,3,"Q10,Q9",NA,1,2,1,2,2,3,2,3,1,2,1,2,2,3,3,2,1,NA,2,4,3,3,3,2,NA,2,3,3,2,NA,NA,3,1,1,1,1,3,3,3,3,4,4,4,4,1,2,3,3,3,1,4,4,NA,2,3,2,3,5,4,2,4,NA,2,1,2,2,1,3,4,NA,1,1,NA,NA,NA,NA,NA,-1,1,2,3,3,4,NA,2,1,2,2,1,2,3,69,6,4,12,4,1,1,1,2,1,16,1,1,3,6,1,64,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,3,potential for future use against my personal interests,interest,3,"Potential for use against my personal interest - by either governments or insurers, for example",Coded_Medical_A,interest,1.2521,0.7689,9/22/17,9/22/17,14,1,1,1,5,4,"Q10,Q9",NA,1,2,1,2,2,2,2,3,1,2,1,2,2,2,3,3,1,NA,1,1,4,2,2,3,NA,1,2,2,3,NA,NA,1,2,2,2,2,2,3,3,3,4,4,4,4,4,3,4,4,4,3,2,1,NA,3,3,2,3,5,2,3,2,NA,2,1,2,1,2,2,3,NA,1,2,1,0,0,0,NA,2,2,4,3,2,4,NA,2,2,1,1,2,3,2,57,5,3,13,4,1,1,1,1,1,10,5,1,4,9,1,93,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,4,1,It would prove my innocence of a crime.,interest,1,Cure deceases and help people live better is why.,Coded_Medical_A,medical cure,0.0653,0.1116,9/22/17,9/22/17,49,1,1,1,5,3,"Q10,Q9",NA,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,1,NA,1,1,3,1,2,1,NA,2,1,2,1,NA,NA,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,1,1,NA,1,4,1,4,4,4,4,4,NA,3,3,3,3,3,3,2,NA,1,2,1,1,0,0,NA,2,3,2,2,2,2,NA,3,2,2,3,3,3,1,68,6,4,13,4,2,1,1,1,2,11,5,1,2,3,2,33,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,5,4,no need,indeterminate unwilling,3,afraid of consequence,Coded_Medical_A,mistrust,1.2092,1.4761,9/22/17,9/22/17,3,1,2,1,1,5,"Q10,Q9",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"Q29,Q30",2,2,3,3,3,3,NA,4,3,4,4,NA,NA,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,3,3,3,3,3,3,3,3,NA,2,2,2,2,2,2,3,NA,2,2,0,1,0,0,NA,3,3,3,3,3,3,NA,2,2,2,2,2,2,2,42,3,2,8,1,4,1,0,4,2,19,1,1,2,3,1,33,0,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
6,6,1,Because that would help with criminal justice,trust,2,To help with research,Coded_Medical_A,value,0.3167,1.0164,9/22/17,9/22/17,13,1,1,1,5,3,NA,NA,1,1,1,2,2,2,2,3,1,1,1,2,2,2,3,3,1,"Q29,Q30",1,4,4,2,3,2,NA,2,2,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,NA,2,2,2,2,3,4,2,2,NA,3,2,2,2,2,2,1,NA,1,2,1,1,0,0,NA,2,2,4,3,2,3,NA,3,2,2,2,2,2,2,53,4,3,12,4,3,2,1,6,1,20,1,1,3,5,1,54,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,7,3,NA,"NA",2,NA,Coded_Medical_A,"NA",3.3734,2.0718,9/22/17,9/22/17,18,1,1,1,5,3,NA,NA,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,2,"Q29,Q30",1,1,4,-1,2,2,NA,2,-1,2,3,NA,NA,1,1,2,1,1,1,2,2,2,2,2,3,3,2,2,2,3,3,2,1,2,NA,2,2,2,3,4,4,3,1,NA,3,2,2,3,2,3,4,NA,-1,1,NA,NA,NA,NA,NA,3,2,3,3,4,3,NA,3,2,2,-1,2,3,3,26,2,1,12,4,1,1,0,4,1,16,5,1,2,4,1,46,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
8,8,1,To find out more about my DNA,interest,2,I would like to find out more I detail of my DNA,Coded_Medical_A,interest,1.739,2.1228,9/22/17,9/22/17,9,1,2,1,2,1,"Q10,Q9",NA,1,1,1,2,3,3,3,3,2,1,1,3,3,3,3,3,1,"Q29,Q30",4,1,3,2,2,2,I would like to find out more I detail of my DNA,1,1,1,1,NA,NA,1,1,1,1,1,3,2,2,2,3,2,2,2,1,4,2,2,2,1,1,1,NA,2,1,1,3,4,3,1,1,NA,2,2,2,3,4,4,5,NA,2,2,1,0,0,0,NA,3,3,3,2,3,3,NA,2,2,2,4,3,3,2,33,2,2,9,2,4,2,0,6,1,12,1,1,3,7,1,74,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
9,9,1,NA,"NA",2,NA,Coded_Medical_A,"NA",2.0545,1.2617,9/22/17,9/22/17,6,1,1,1,5,5,NA,NA,1,2,2,2,2,3,2,3,2,2,1,2,2,1,3,3,1,"Q29,Q30",2,2,3,3,2,2,NA,1,1,1,1,NA,NA,2,2,1,2,2,2,2,3,2,2,2,3,4,3,2,1,2,1,2,2,2,NA,1,2,1,2,4,2,4,4,NA,2,2,2,2,2,2,2,NA,1,2,0,1,0,0,NA,2,2,2,2,2,4,NA,2,2,2,2,2,2,1,45,4,3,11,3,1,2,1,4,1,17,1,0,1,2,1,21,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
10,10,3,There are no guarantees that the samples will be used in an ethical manner.,mistrust,2,It might advance science.,Coded_Medical_A,scientific knowledge,0.8733,0.5363,9/22/17,9/22/17,16,1,1,1,5,4,"Q10,Q9",NA,1,1,1,2,1,2,2,3,1,2,1,3,2,2,3,2,1,NA,3,2,3,3,2,2,NA,4,2,2,3,NA,NA,2,2,1,2,1,2,2,2,3,4,4,4,4,3,4,3,3,3,3,2,2,NA,3,3,3,3,3,3,2,2,NA,2,1,2,2,1,2,4,NA,2,2,1,0,0,0,NA,3,3,3,3,3,3,NA,3,1,2,2,2,2,2,81,7,4,12,4,1,2,1,2,1,13,1,1,3,5,1,58,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
